"Time","CurrEstab","TCP_tw","Sockets_used","UDP_inuse","TCP_alloc","Tcp_InSegs","Tcp_OutSegs","Tcp_RetransSegs"
2025-06-04 18:16:00,199,171,,1,4818,263,281,0
2025-06-04 18:18:00,201,163,,1,4867,264,281,0
2025-06-04 18:20:00,200,172,,1,4915,283,300,0
2025-06-04 18:22:00,201,171,,1,4965,269,287,0
2025-06-04 18:24:00,200,164,,1,5011,270,288,0
2025-06-04 18:26:00,199,178,,1,931,279,297,0
2025-06-04 18:28:00,199,169,,1,977,262,279,0
2025-06-04 18:30:00,199,155,747,1,1025,266,284,0
2025-06-04 18:32:00,199,173,,1,1077,271,289,0
2025-06-04 18:34:00,199,166,,1,1123,267,285,0
2025-06-04 18:36:00,199,172,,1,1169,272,291,0
2025-06-04 18:38:00,200,166,,1,1219,274,293,0
2025-06-04 18:40:00,199,159,,1,1265,274,292,0
2025-06-04 18:42:00,200,188,,1,1317,269,288,0
2025-06-04 18:44:00,199,175,,1,1361,272,290,0
2025-06-04 18:46:00,199,175,,1,1409,274,291,0
2025-06-04 18:48:00,199,155,,1,1459,268,286,0
2025-06-04 18:50:00,199,165,,1,1505,277,295,0
2025-06-04 18:52:00,199,163,,1,1557,266,284,0
2025-06-04 18:54:00,199,158,,1,1601,265,283,0
2025-06-04 18:56:00,199,163,,1,1649,273,292,0
2025-06-04 18:58:00,199,155,,1,1697,263,281,0
2025-06-04 19:00:00,199,171,747,1,1745,264,282,0
2025-06-04 19:02:00,199,156,,1,1793,269,287,0
2025-06-04 19:04:00,199,171,,1,1841,267,285,0
2025-06-04 19:06:00,199,165,,1,1891,262,280,0
2025-06-04 19:08:00,198,166,,1,1935,278,298,0
2025-06-04 19:10:00,199,165,,1,1983,281,298,0
2025-06-04 19:12:00,198,177,,1,2033,268,288,0
2025-06-04 19:14:00,198,172,,1,2079,266,284,0
2025-06-04 19:16:00,199,175,,1,2127,267,284,0
2025-06-04 19:18:00,198,172,,1,2177,265,283,0
2025-06-04 19:20:00,198,156,,1,2225,280,299,0
2025-06-04 19:22:00,198,169,,1,2273,267,285,0
2025-06-04 19:24:00,198,170,,1,2319,265,283,0
2025-06-04 19:26:00,198,168,,1,2367,273,291,0
2025-06-04 19:28:00,199,168,,1,2415,266,285,0
2025-06-04 19:30:00,198,165,746,1,2463,271,289,0
2025-06-04 19:32:00,199,175,,1,2513,271,289,0
2025-06-04 19:34:00,198,166,,1,2559,271,289,0
2025-06-04 19:36:00,199,170,,1,2609,263,281,0
2025-06-04 19:38:00,199,179,,1,2657,269,287,0
2025-06-04 19:40:00,198,181,,1,2705,264,285,0
2025-06-04 19:42:00,198,162,,1,2755,266,283,0
2025-06-04 19:44:00,199,164,,1,2799,280,297,0
2025-06-04 19:46:00,198,180,,1,2847,261,280,0
2025-06-04 19:48:00,198,161,,1,2895,264,282,0
2025-06-04 19:50:00,199,171,,1,2943,280,298,0
2025-06-04 19:52:00,198,163,,1,2991,264,283,0
2025-06-04 19:54:00,198,169,,1,3039,266,283,0
2025-06-04 19:56:00,198,168,,1,3088,278,296,0
2025-06-04 19:58:00,199,179,,1,3135,272,289,0
2025-06-04 20:00:00,198,172,746,1,3183,276,296,0
2025-06-04 20:02:00,198,162,,1,3233,274,292,0
2025-06-04 20:04:00,198,175,,1,3279,269,287,0
2025-06-04 20:06:00,198,162,,1,3329,271,289,0
2025-06-04 20:08:00,199,172,,1,3377,276,294,0
